"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-05-11 ~ 2025-05-10"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"122","서울특별시 중구 신당동","4**","단독","8m미만","232.66","149.00","202504","12","140,000","개인","개인","1974","다산로5길","-","중개거래","서울 중구"
"123","서울특별시 영등포구 신길동","6*","다가구","8m미만","376.48","172.00","202504","12","160,000","법인","개인","1997","영등포로67가길","-","중개거래","서울 영등포구"
"124","서울특별시 광진구 구의동","8*","단독","8m미만","82.28","168.30","202504","12","69,000","개인","개인","1971","자양로37가길","-","중개거래","충남 천안시 서북구"
"125","서울특별시 동작구 사당동","1**","단독","8m미만","97.22","89.00","202504","12","123,025","기타","개인","1974","사당로29길","-","직거래","-"
"126","서울특별시 중랑구 중화동","3**","단독","25m미만","484.74","189.40","202504","12","200,000","법인","개인","1988","중랑역로","-","중개거래","서울 도봉구"
"127","서울특별시 동대문구 전농동","2**","단독","12m미만","61.49","78.00","202504","12","66,000","개인","개인","1967","서울시립대로14길","-","중개거래","서울 동대문구"
"128","서울특별시 동대문구 용두동","7**","단독","25m이상","36.02","5.60","202504","12","16,100","개인","개인","2005","왕산로","-","중개거래","서울 동대문구"
"129","서울특별시 중구 신당동","3**","단독","8m미만","129.31","62.76","202504","11","117,000","개인","개인","1948","다산로24길","-","중개거래","서울 중구"
"130","서울특별시 용산구 보광동","2**","단독","8m미만","35.24","60.00","202504","11","275,000","개인","개인","1960","우사단로4길","-","중개거래","서울 성동구, 서울 용산구"
"131","서울특별시 동대문구 이문동","1**","단독","8m미만","102.75","93.00","202504","11","112,000","개인","개인","1998","외대역동로34길","-","중개거래","서울 동대문구, 서울 용산구"
"132","서울특별시 동대문구 이문동","3**","다가구","8m미만","280.22","146.00","202504","11","121,000","개인","개인","1996","이문로9길","-","중개거래","서울 동대문구"
"133","서울특별시 강서구 화곡동","3**","다가구","8m미만","299.03","157.00","202504","11","128,170","공공기관","개인","1997","월정로30가길","-","직거래","-"
"134","서울특별시 강동구 암사동","4**","다가구","8m미만","328.83","143.60","202504","11","134,000","개인","개인","1992","고덕로14길","-","중개거래","서울 강동구"
"135","서울특별시 영등포구 신길동","1**","단독","8m미만","19.30","26.00","202504","11","70,000","개인","개인","1985","영등포로64길","-","중개거래","경기 안양시 동안구, 서울 영등포구"
"136","서울특별시 영등포구 신길동","3**","단독","8m미만","196.60","119.00","202504","11","104,400","개인","법인","2020","가마산로63길","-","직거래","-"
"137","서울특별시 동작구 사당동","1**","다가구","8m미만","182.42","116.00","202504","11","148,694","기타","개인","1991","사당로27길","-","직거래","-"
"138","서울특별시 동작구 사당동","1**","다가구","8m미만","161.02","126.00","202504","11","196,747","기타","개인","2020","사당로29라길","-","직거래","-"
"139","서울특별시 관악구 신림동","6**","다가구","8m미만","258.53","162.00","202504","11","131,620","공공기관","개인","1990","법원단지7길","-","직거래","-"
"140","서울특별시 성동구 행당동","2**","단독","12m미만","240.17","152.00","202504","11","158,000","개인","개인","1990","무학봉16길","-","중개거래","서울 성동구"
"141","서울특별시 도봉구 쌍문동","4**","다가구","8m미만","166.53","116.00","202504","11","35,000","개인","개인","1986","우이천로44길","-","직거래","-"
"142","서울특별시 강동구 고덕동","2**","단독","12m미만","270.81","184.40","202504","11","260,000","개인","개인","1986","아리수로76길","-","중개거래","서울 강동구"
"143","서울특별시 용산구 용산동2가","1*","단독","12m미만","138.28","95.20","202504","11","78,000","개인","개인","1989","신흥로","-","중개거래","서울 용산구"
"144","서울특별시 성동구 송정동","7*","단독","8m미만","153.30","99.00","202504","11","151,500","법인","개인","1988","송정14길","-","중개거래","서울 성동구"
"145","서울특별시 성동구 송정동","7*","단독","8m미만","161.10","99.00","202504","11","150,000","법인","개인","1988","송정14길","-","중개거래","서울 성동구"
"146","서울특별시 서대문구 연희동","2**","단독","8m미만","350.71","456.00","202504","11","305,000","개인","개인","1971","연희로27가길","-","중개거래","서울 서대문구"
